
28	3	0.933 	0.860 	0.990 	0.919 
28	4	0.881 	0.854 	0.919 	0.990 
29	1	0.990 	0.839 	0.855 	0.874 
29	2	0.839 	0.990 	0.916 	0.905 
29	3	0.855 	0.916 	0.990 	0.951 
29	4	0.874 	0.905 	0.951 	0.990 
30	1	0.990 	0.889 	0.919 	0.919 
30	2	0.889 	0.990 	0.881 	0.881 
30	3	0.919 	0.881 	0.990 	0.990 
30	4	0.919 	0.881 	0.990 	0.990 
31	1	0.990 	0.827 	0.854 	0.908 
31	2	0.827 	0.990 	0.793 	0.855 
31	3	0.854 	0.793 	0.990 	0.854 
31	4	0.908 	0.855 	0.854 	0.990 
32	1	0.990 	0.907 	0.804 	0.839 
32	2	0.907 	0.990 	0.855 	0.860 
32	3	0.804 	0.855 	0.990 	0.826 
32	4	0.839 	0.860 	0.826 	0.990 
33	1	0.990 	0.879 	0.855 	0.905 
33	2	0.879 	0.990 	0.793 	0.898 
33	3	0.855 	0.793 	0.990 	0.834 
33	4	0.905 	0.898 	0.834 	0.990 
34	1	0.990 	0.839 	0.861 	0.861 
34	2	0.839 	0.990 	0.814 	0.814 
34	3	0.861 	0.814 	0.990 	0.990 
34	4	0.861 	0.814 	0.990 	0.990 
35	1	0.990 	0.898 	0.933 	0.908 
35	2	0.898 	0.990 	0.898 	0.881 
35	3	0.933 	0.898 	0.990 	0.933 
35	4	0.908 	0.881 	0.933 	0.990 
36	1	0.990 	0.919 	0.990 	0.831 
36	2	0.919 	0.990 	0.919 	0.826 
36	3	0.990 	0.919 	0.990 	0.831 
36	4	0.831 	0.826 	0.831 	0.990 
37	1	0.990 	0.908 	0.951 	0.850 
37	2	0.908 	0.990 	0.919 	0.874 
37	3	0.951 	0.919 	0.990 	0.855 
37	4	0.850 	0.874 	0.855 	0.990 
38	1	0.990 	0.905 	0.919 	0.874 
38	2	0.905 	0.990 	0.880 	0.860 
38	3	0.919 	0.880 	0.990 	0.898 
38	4	0.874 	0.860 	0.898 	0.990 
39	1	0.990 	0.826 	0.895 	0.860 
39	2	0.826 	0.990 	0.851 	0.919 
39	3	0.895 	0.851 	0.990 	0.881 
39	4	0.860 	0.919 	0.881 	0.990 
40	1	0.990 	0.916 	0.866 	0.896 
40	2	0.916 	0.990 	0.889 	0.933 
40	3	0.866 	0.889 	0.990 	0.874 
40	4	0.896 	0.933 	0.874 	0.990 
41	1	0.990 	0.855 	0.907 	0.796 
41	2	0.855 	0.990 	0.881 	0.793 
41	3	0.907 	0.881 	0.990 	0.843 
41	4	0.796 	0.793 	0.843 	0.990 
42	1	0.990 	0.933 	0.813 	0.861 
42	2	0.933 	0.990 	0.806 	0.831 
42	3	0.813 	0.806 	0.990 	0.839 
42	4	0.861 	0.831 	0.839 	0.990 
43	1	0.990 	0.849 	0.830 	0.879 
43	2	0.849 	0.990 	0.862 	0.898 
43	3	0.830 	0.862 	0.990 	0.868 
43	4	0.879 	0.898 	0.868 	0.990 
44	1	0.990 	0.849 	0.826 	0.881 
44	2	0.849 	0.990 	0.868 	0.866 
44	3	0.826 	0.868 	0.990 	0.887 
44	4	0.881 	0.866 	0.887 	0.990 
45	1	0.990 	0.879 	0.800 	0.861 
45	2	0.879 	0.990 	0.827 	0.866 
45	3	0.800 	0.827 	0.990 	0.860 
45	4	0.861 	0.866 	0.860 	0.990 
46	1	0.990 	0.826 	0.919 	0.919 
46	2	0.826 	0.990 	0.860 	0.839 
46	3	0.919 	0.860 	0.990 	0.933 
46	4	0.919 	0.839 	0.933 	0.990 
47	1	0.990 	0.872 	0.834 	0.839 
47	2	0.872 	0.990 	0.898 	0.889 
47	3	0.834 	0.898 	0.990 	0.855 
47	4	0.839 	0.889 	0.855 	0.990 
48	1	0.990 	0.839 	0.889 	0.898 
48	2	0.839 	0.990 	0.830 	0.880 
48	3	0.889 	0.830 	0.990 	0.919 
48	4	0.898 	0.880 	0.919 	0.990 
49	1	0.990 	0.849 	0.881 	0.898 
49	2	0.849 	0.990 	0.854 	0.866 
49	3	0.881 	0.854 	0.990 	0.933 
49	4	0.898 	0.866 	0.933 	0.990 
50	1	0.990 	0.872 	0.834 	0.839 
50	2	0.872 	0.990 	0.898 	0.889 
50	3	0.834 	0.898 	0.990 	0.855 
50	4	0.839 	0.889 	0.855 	0.990 
